DATE,RSXFS
2008-08-01,334045
2008-09-01,328343
2008-10-01,314830
2008-11-01,301332
2008-12-01,294025
2009-01-01,298673
2009-02-01,297631
2009-03-01,292300
2009-04-01,293614
2009-05-01,296501
2009-06-01,302169
2009-07-01,302802
2009-08-01,309023
2009-09-01,301033
2009-10-01,304154
2009-11-01,306675
2009-12-01,308413
2010-01-01,308299
2010-02-01,308628
2010-03-01,316003
2010-04-01,318707
2010-05-01,315604
2010-06-01,314925
2010-07-01,315632
2010-08-01,317408
2010-09-01,320080
2010-10-01,323900
2010-11-01,327745
2010-12-01,329627
2011-01-01,332357
2011-02-01,334710
2011-03-01,338007
2011-04-01,339884
2011-05-01,339303
2011-06-01,341600
2011-07-01,341373
2011-08-01,342288
2011-09-01,345496
2011-10-01,347924
2011-11-01,349304
2011-12-01,349744
2012-01-01,352862
2012-02-01,357379
2012-03-01,358719
2012-04-01,356849
2012-05-01,356018
2012-06-01,352043
2012-07-01,353891
2012-08-01,358450
2012-09-01,361470
2012-10-01,361991
2012-11-01,362876
2012-12-01,364488
2013-01-01,367009
2013-02-01,372291
2013-03-01,369081
2013-04-01,367514
2013-05-01,369493
2013-06-01,371041
2013-07-01,373554
2013-08-01,372489
2013-09-01,372505
2013-10-01,373663
2013-11-01,373914
2013-12-01,377032
2014-01-01,373033
2014-02-01,378581
2014-03-01,382601
2014-04-01,386689
2014-05-01,387100
2014-06-01,388106
2014-07-01,388359
2014-08-01,391305
2014-09-01,389860
2014-10-01,390506
2014-11-01,391805
2014-12-01,388569
2015-01-01,385648
2015-02-01,385157
2015-03-01,391420
2015-04-01,391356
2015-05-01,394718
2015-06-01,395464
2015-07-01,398193
2015-08-01,398105
2015-09-01,396248
2015-10-01,394503
2015-11-01,396240
2015-12-01,397052
2016-01-01,394749
2016-02-01,398105
2016-03-01,396911
2016-04-01,398190
2016-05-01,400143
2016-06-01,404756
2016-07-01,403730
2016-08-01,403968
2016-09-01,405958
2016-10-01,407395
2016-11-01,406061
2016-12-01,412610
2017-01-01,416081
2017-02-01,415503
2017-03-01,414620
2017-04-01,416889
2017-05-01,414540
2017-06-01,416505
2017-07-01,416744
2017-08-01,417179
2017-09-01,426501
2017-10-01,426933
2017-11-01,431158
2017-12-01,433282
2018-01-01,432148
2018-02-01,434106
2018-03-01,433232
2018-04-01,435610
2018-05-01,439996
2018-06-01,438191
2018-07-01,440703
2018-08-01,439278
2018-09-01,438985
2018-10-01,444038
2018-11-01,445242
2018-12-01,434803
2019-01-01,440751
2019-02-01,439996
2019-03-01,447167
2019-04-01,448709
2019-05-01,449552
2019-06-01,450927
2019-07-01,454012
2019-08-01,456500
2019-09-01,452849
2019-10-01,455486
2019-11-01,457658
2019-12-01,458055
2020-01-01,460586
2020-02-01,459610
2020-03-01,434281
2020-04-01,379892
2020-05-01,444631
2020-06-01,475723
2020-07-01,481303
2020-08-01,483422
2020-09-01,492942
2020-10-01,493991
2020-11-01,488652
2020-12-01,484782
2021-01-01,520162
2021-02-01,504458
2021-03-01,559871
2021-04-01,562269
2021-05-01,550781
2021-06-01,554388
2021-07-01,543191
2021-08-01,548654
2021-09-01,553027
